sku,attribute_set_code,product_type,categories,name,description,price,base_image,qty,is_in_stock,related_skus,crosssell_skus,upsell_skus,created_at,updated_at
24-UG07,Gear,simple,"Gear,Collections,Fitness Equipment",Dual Handle Cardio Ball,"Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.
Durable plastic shell with sand fill.
Two handles.
15 lbs.",12.0,/u/g/ug07-bk-0.jpg,100.0,1.0,"24-WG081-gray,24-UG02,24-WG085_Group,24-UG06","24-WG081-gray,24-WG085,24-WG082-pink,24-WG088",,6/26/25,6/26/25
24-UG04,Gear,simple,"Gear,Fitness Equipment",Zing Jump Rope,"One of the world's simplest and most portable exercise devices, a jump rope enables endless variations and fitness output. The Zing Jump Rope goes anywhere and can be used any time. It is adjustable in length and has contoured foam handles for a great grip.
 Contoured foam handles.
 Adjustable length.",12.0,/u/g/ug04-bk-0.jpg,100.0,1.0,"24-WG081-gray,24-WG082-pink,24-WG080,24-UG05","24-WG082-pink,24-UG01,24-WG088,24-UG03",,6/26/25,6/26/25
24-UG02,Gear,simple,"Gear,Fitness Equipment",Pursuit Lumaflex&trade; Tone Band,"Save your knees and joints while strengthening arms, legs and core with the Pursuit Lumaflex&trade; Tone Band. This ultra-durable training tool lets you complete a full-body workout free of bulky machines or free weights.
Home and/or gym use.
Ergonomic handles.",16.0,/u/g/ug02-bk-0.jpg,100.0,1.0,"24-UG06,24-UG07,24-WG084,24-WG081-gray","24-UG01,24-WG086,24-WG085,24-WG085_Group",,6/26/25,6/26/25
24-UG05,Gear,simple,"Gear,Collections,Fitness Equipment,New Luma Yoga Collection",Go-Get'r Pushup Grips,"The Go-Get'r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.
Durable foam grips.
Supportive base.",19.0,/u/g/ug05-gr-0.jpg,100.0,1.0,"24-WG080,24-WG081-gray,24-WG084,24-WG083-blue","24-UG01,24-WG084,24-WG086,24-WG080",,6/26/25,6/26/25
24-UG01,Gear,simple,"Gear,Fitness Equipment",Quest Lumaflex&trade; Band,"From leg extensions and standing squats to a full range of floor routines, the Quest Strength Band brings your own personal gym with you everywhere you go. Designed to add extra resistance to any training session, this strength band helps you tone and define your muscles. You'll love the extra comfort of its grippy handles and adjustable design.
Adjusts from 30"" to 55"".
Grippy comfort handles.
Stretchy rubber construction.",19.0,/u/g/ug01-bk-0.jpg,100.0,1.0,"24-WG086,24-UG04,24-WG082-pink,24-UG05","24-WG081-gray,24-UG06,24-WG080,24-WG088",,6/26/25,6/26/25
24-WG084,Gear,simple,"Gear,Fitness Equipment",Sprite Foam Yoga Brick,"Our top-selling yoga prop, the 4-inch, high-quality Sprite Foam Yoga Brick is popular among yoga novices and studio professionals alike. An essential yoga accessory, the yoga brick is a critical tool for finding balance and alignment in many common yoga poses. Choose from 5 color options.
Standard Large Size: 4"" x 6"" x 9"".
Beveled edges for ideal contour grip.
Durable and soft, scratch-proof foam.
Individually wrapped.
Ten color choices.",5.0,/l/u/luma-yoga-brick.jpg,100.0,1.0,"24-UG06,24-WG085_Group,24-UG03,24-UG07","24-WG083-blue,24-WG081-gray,24-WG080,24-UG03",,6/26/25,6/26/25
24-WG088,Gear,simple,"Gear,Fitness Equipment",Sprite Foam Roller,"It hurts so good to use the Sprite Foam Roller on achy, tired muscles for myofascial massage therapy. Or you can add this fundamental piece to your Pilates and yoga accouterment, or apply towards core stability, strengthening and balance exercise. 
6'' wide by 12'' long.
Safe for myofascial release.
EPP or PE foam options.
Solid, dense, closed-cell foam.",19.0,/l/u/luma-foam-roller.jpg,100.0,1.0,"24-UG01,24-UG03,24-WG080,24-UG02","24-UG03,24-UG01,24-WG085_Group,24-UG06",,6/26/25,6/26/25
24-UG03,Gear,simple,"Gear,Fitness Equipment",Harmony Lumaflex&trade; Strength Band Kit ,"Forget fancy machines and costly memberships - the Harmony Lumaflex&trade; Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.
Three flex bands.
Textured, ergonomic grips.
Adjustable lengths.
Mesh carry bag included.",22.0,/u/g/ug03-bk-0.jpg,100.0,1.0,"24-UG06,24-UG01,24-WG086,24-WG085","24-UG04,24-WG080,24-UG01,24-WG085_Group",,6/26/25,6/26/25
24-WG081-gray,Sprite Stasis Ball,simple,"Gear,Fitness Equipment",Sprite Stasis Ball 55 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.
Durable, burst-resistant design.
Hand pump included.",23.0,/l/u/luma-stability-ball-gray.jpg,100.0,1.0,"24-WG085_Group,24-UG01,24-UG03,24-WG087","24-WG085_Group,24-WG088,24-WG086,24-UG05",,6/26/25,6/26/25
24-WG081-pink,Sprite Stasis Ball,simple,"Gear,Fitness Equipment",Sprite Stasis Ball 55 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.
Durable, burst-resistant design.
Hand pump included.",23.0,/l/u/luma-stability-ball-pink.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG081-blue,Sprite Stasis Ball,simple,"Gear,Fitness Equipment",Sprite Stasis Ball 55 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.
Durable, burst-resistant design.
Hand pump included.",23.0,/l/u/luma-stability-ball.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG082-gray,Sprite Stasis Ball,simple,"Gear,Fitness Equipment",Sprite Stasis Ball 65 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.
65 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.",27.0,/l/u/luma-stability-ball-gray.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG082-pink,Sprite Stasis Ball,simple,"Gear,Fitness Equipment",Sprite Stasis Ball 65 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.
65 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.",27.0,/l/u/luma-stability-ball-pink.jpg,100.0,1.0,"24-UG01,24-WG085_Group,24-WG088,24-WG084","24-UG06,24-WG084,24-UG02,24-WG086",,6/26/25,6/26/25
24-WG082-blue,Sprite Stasis Ball,simple,"Gear,Fitness Equipment",Sprite Stasis Ball 65 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.
65 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.",27.0,/l/u/luma-stability-ball.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG083-gray,Sprite Stasis Ball,simple,"Gear,Fitness Equipment",Sprite Stasis Ball 75 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.
75 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.",32.0,/l/u/luma-stability-ball-gray.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG083-pink,Sprite Stasis Ball,simple,"Gear,Fitness Equipment",Sprite Stasis Ball 75 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.
75 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.",32.0,/l/u/luma-stability-ball-pink.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG083-blue,Sprite Stasis Ball,simple,"Gear,Fitness Equipment",Sprite Stasis Ball 75 cm,"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.
75 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.",32.0,/l/u/luma-stability-ball.jpg,100.0,1.0,"24-WG088,24-WG082-pink,24-WG084,24-WG086","24-WG088,24-WG082-pink,24-WG086,24-WG084",,6/26/25,6/26/25
24-WG085,Sprite Yoga Strap,simple,"Gear,Fitness Equipment",Sprite Yoga Strap 6 foot,"The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.
100% soft and durable cotton.
Plastic cinch buckle is easy to use.
Three natural colors made from phthalate and heavy metal free dyes.",14.0,/l/u/luma-yoga-strap.jpg,100.0,1.0,"24-UG04,24-WG086,24-WG088,24-UG06","24-WG081-gray,24-WG085_Group,24-UG06,24-UG07",,6/26/25,6/26/25
24-WG086,Sprite Yoga Strap,simple,"Gear,Fitness Equipment",Sprite Yoga Strap 8 foot,"The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.
8' long x 1.0"" wide.
100% soft and durable cotton.
Plastic cinch buckle is easy to use.
Three natural colors made from phthalate and heavy metal free dyes.",17.0,/l/u/luma-yoga-strap.jpg,100.0,1.0,"24-UG03,24-UG04,24-UG05,24-WG085","24-WG084,24-UG06,24-UG02,24-WG080",,6/26/25,6/26/25
24-WG087,Sprite Yoga Strap,simple,"Gear,Fitness Equipment",Sprite Yoga Strap 10 foot,"The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.
10' long x 1.0"" wide.
100% soft and durable cotton.
Plastic cinch buckle is easy to use.
Three natural colors made from phthalate and heavy metal free dyes.",21.0,/l/u/luma-yoga-strap.jpg,100.0,1.0,"24-WG085,24-WG086,24-WG080,24-WG083-blue","24-WG080,24-WG085,24-WG081-gray,24-UG01",,6/26/25,6/26/25
24-MG04,Gear,simple,"Gear,Watches",Aim Analog Watch,"Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.
Japanese quartz movement.
Strap fits 7"" to 8.0"".",45.0,/m/g/mg04-bk-0.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-MG01,Gear,simple,"Gear,Watches",Endurance Watch,"It's easy to track and monitor your training progress with the Endurance Watch. You'll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.
Digital display.
LED backlight.
Strap fits 7"" to 10"".
1-year limited warranty.
Comes with polished metal case.",49.0,/m/g/mg01-bk-0.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-MG03,Gear,simple,"Gear,Collections,Watches,New Luma Yoga Collection",Summit Watch,"Trek high and low in the attractive Summit Watch, which features a digital LED display with time and date, stopwatch, lap counter, and 3-second backlight. It can also calculate the number of steps taken and calories burned.
Brushed metal case.
Water resistant (100 meters).
Buckle clasp.
Strap fits 7"" - 10"".
1-year limited warranty.",54.0,/m/g/mg03-br-0.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-MG05,Gear,simple,"Gear,Collections,Watches,New Luma Yoga Collection",Cruise Dual Analog Watch,"Whether you're traveling or wish you were, you'll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.
Two dials.
Stainless steel case.
Adjustable leather band.",55.0,/m/g/mg05-br-0.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-MG02,Gear,simple,"Gear,Collections,Watches,New Luma Yoga Collection",Dash Digital Watch,"The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.
Digital display.
LED backlight.
Rubber strap with buckle clasp.
1-year limited warranty.",92.0,/m/g/mg02-bk-0.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG09,Gear,simple,"Gear,Watches",Luma Analog Watch,"Designed to stand up to your active lifestyle, this women's Luma Analog Watch features a tasteful brushed chrome finish and a stainless steel, water-resistant construction for lasting durability.
Precision Miyota&reg; three-hand movement.",43.0,/w/g/wg09-gr-0.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG01,Gear,simple,"Gear,Watches",Bolo Sport Watch,"The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.
Displays time, day and date.
Two-tone design.
12/24 hour formats.
Nickel-free buckle on band.
Battery included.",49.0,/w/g/wg01-bk-0.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG03,Gear,simple,"Gear,Watches",Clamber Watch,"Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.
Japanese quartz movement.
Strap fits 5"" to 6.0"".",54.0,/w/g/wg03-gr-0.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG02,Gear,simple,"Gear,Collections,Watches,New Luma Yoga Collection",Didi Sport Watch,"The Didi Sport Watch helps you keep your workout plan down to the second. The vertical, digital face looks sleek and futuristic. This watch is programmed with tons of helpful features such as a timer, an alarm clock, a pedometer, and more to help make your excercise more productive.
Digital display.
LED backlight.
Rubber strap with buckle clasp.
1-year limited warranty.",92.0,/w/g/wg02-bk-0.jpg,100.0,1.0,,,,6/26/25,6/26/25
24-WG080,Gear,bundle,"Gear,Fitness Equipment",Sprite Yoga Companion Kit,"A well-rounded yoga workout takes more than a mat. The Sprite Yoga Companion Kit helps stock your studio with the basics you need for a full-range workout. The kit is composed of four best-selling Luma Sprite accessories in one easy bundle: statis ball, foam block, yoga strap, and foam roller. Choose sizes and colors and leave the rest to us. The kit includes:
 Sprite Statis Ball
 Sprite Foam Yoga Brick
 Sprite Yoga Strap
 Sprite Foam Roller",,/l/u/luma-yoga-kit-2.jpg,0.0,1.0,,,,6/26/25,6/26/25
24-WG085_Group,Gear,grouped,"Gear,Fitness Equipment",Set of Sprite Yoga Straps,"Great set of Sprite Yoga Straps for every stretch and hold you need. There are three straps in this set: 6', 8' and 10'.
 100% soft and durable cotton.
 Plastic cinch buckle is easy to use.
 Choice of three natural colors made from phthalate and heavy metal free dyes.",,/l/u/luma-yoga-strap-set.jpg,0.0,1.0,,,,6/26/25,6/26/25
MH01-XS-Black,Top,simple,"Hoodies & Sweatshirts,Eco Friendly,Default Category",Chaz Kangeroo Hoodie-XS-Black,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
&bull; Two-tone gray heather hoodie.&bull; Drawstring-adjustable hood. &bull; Machine wash/dry.",52.0,/m/h/mh01-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MH01-XS-Gray,Top,simple,"Hoodies & Sweatshirts,Eco Friendly,Default Category",Chaz Kangeroo Hoodie-XS-Gray,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
&bull; Two-tone gray heather hoodie.&bull; Drawstring-adjustable hood. &bull; Machine wash/dry.",52.0,/m/h/mh01-gray_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MH01-XS-Orange,Top,simple,"Hoodies & Sweatshirts,Eco Friendly,Default Category",Chaz Kangeroo Hoodie-XS-Orange,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
&bull; Two-tone gray heather hoodie.&bull; Drawstring-adjustable hood. &bull; Machine wash/dry.",52.0,/m/h/mh01-orange_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MH01-S-Black,Top,simple,"Hoodies & Sweatshirts,Eco Friendly,Default Category",Chaz Kangeroo Hoodie-S-Black,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
&bull; Two-tone gray heather hoodie.&bull; Drawstring-adjustable hood. &bull; Machine wash/dry.",52.0,/m/h/mh01-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MH01-S-Gray,Top,simple,"Hoodies & Sweatshirts,Eco Friendly,Default Category",Chaz Kangeroo Hoodie-S-Gray,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
&bull; Two-tone gray heather hoodie.&bull; Drawstring-adjustable hood. &bull; Machine wash/dry.",52.0,/m/h/mh01-gray_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MH01-S-Orange,Top,simple,"Hoodies & Sweatshirts,Eco Friendly,Default Category",Chaz Kangeroo Hoodie-S-Orange,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
&bull; Two-tone gray heather hoodie.&bull; Drawstring-adjustable hood. &bull; Machine wash/dry.",52.0,/m/h/mh01-orange_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MH01-M-Black,Top,simple,"Hoodies & Sweatshirts,Eco Friendly,Default Category",Chaz Kangeroo Hoodie-M-Black,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
&bull; Two-tone gray heather hoodie.&bull; Drawstring-adjustable hood. &bull; Machine wash/dry.",52.0,/m/h/mh01-black_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
MH01-M-Gray,Top,simple,"Hoodies & Sweatshirts,Eco Friendly,Default Category",Chaz Kangeroo Hoodie-M-Gray,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.
&bull; Two-tone gray heather hoodie.&bull; Drawstring-adjustable hood. &bull; Machine wash/dry.",52.0,/m/h/mh01-gray_main_1.jpg,100.0,1.0,,,,6/26/25,6/26/25
